breaker_id,source_ob_id,source_ob_direction,flipped_direction,zone_high,zone_low,ob_creation_time,break_candle_time,break_candle_index,break_close_price,frozen_atr,displacement_atr,separation_confirm_time,separation_confirm_index,retest_time,retest_index,expired,valid_retest,bars_ob_creation_to_break,bars_break_to_separation,bars_break_to_retest,session,year,segment_id
1,6,bearish,bullish,1101.583500,1100.119500,2016-01-08 13:45:00,2016-01-08 14:45:00,430,1103.532500,1.988393,4.445047,2016-01-08 15:30:00,433,2016-01-08 17:30:00,441,False,True,4,3,11,ny_overlap,2016,4
2,10,bullish,bearish,1095.545000,1094.947000,2016-01-12 08:15:00,2016-01-12 10:45:00,598,1093.227000,1.287714,3.428167,2016-01-12 11:00:00,599,,,True,False,10,1,,london,2016,6
3,12,bearish,bullish,1085.813500,1084.966500,2016-01-13 07:30:00,2016-01-13 14:45:00,706,1088.564500,0.960714,4.298364,2016-01-13 15:00:00,707,,,True,False,29,1,,ny_overlap,2016,7
4,17,bullish,bearish,1089.839500,1088.518500,2016-01-19 08:15:00,2016-01-19 10:15:00,1041,1087.749000,1.296464,4.251178,2016-01-19 10:30:00,1042,2016-01-19 14:15:00,1057,False,True,8,1,16,london,2016,11
5,22,bearish,bullish,1099.255000,1097.752000,2016-01-21 13:45:00,2016-01-21 19:00:00,1260,1100.943500,1.994929,2.831430,2016-01-21 19:15:00,1261,,,True,False,21,1,,off_session,2016,13
6,24,bearish,bullish,1098.575500,1097.024000,2016-01-22 13:45:00,2016-01-22 15:30:00,1338,1100.250000,1.356107,2.861868,2016-01-22 15:45:00,1339,2016-01-22 16:45:00,1343,False,True,7,1,5,ny_overlap,2016,14
7,31,bullish,bearish,1117.970000,1116.575000,2016-01-27 13:15:00,2016-01-27 15:15:00,1613,1115.249000,1.271393,2.784741,2016-01-27 18:45:00,1627,2016-01-27 19:00:00,1628,False,True,8,14,15,ny_overlap,2016,17
8,32,bearish,bullish,1118.081500,1116.396500,2016-01-27 15:15:00,2016-01-27 19:15:00,1629,1122.275000,1.511893,2.010724,2016-01-27 19:30:00,1630,,,True,False,16,1,,off_session,2016,17
9,36,bearish,bullish,1115.275000,1114.155500,2016-01-29 15:00:00,2016-01-29 15:45:00,1799,1116.571000,1.811000,2.390392,2016-01-29 16:00:00,1800,,,True,False,3,1,,ny_overlap,2016,19
10,38,bearish,bullish,1124.135500,1122.908500,2016-02-01 13:45:00,2016-02-01 14:45:00,1887,1126.652500,1.111536,3.950840,2016-02-01 15:00:00,1888,,,True,False,4,1,,ny_overlap,2016,20
11,41,bullish,bearish,1125.321500,1124.483500,2016-02-02 14:00:00,2016-02-02 17:30:00,1990,1123.233500,1.103107,2.743161,,,,,True,False,14,,,off_session,2016,21
12,42,bullish,bearish,1127.769000,1126.773000,2016-02-03 06:15:00,2016-02-03 08:00:00,2044,1124.548500,0.863857,3.035224,2016-02-03 08:15:00,2045,2016-02-03 08:45:00,2047,False,True,7,1,3,london,2016,22
13,43,bearish,bullish,1127.725000,1126.969500,2016-02-03 08:00:00,2016-02-03 10:15:00,2053,1129.306500,1.079000,3.011121,2016-02-03 10:30:00,2054,2016-02-03 12:15:00,2061,False,True,9,1,8,london,2016,22
14,45,bullish,bearish,1157.189500,1155.519500,2016-02-05 10:00:00,2016-02-05 13:45:00,2251,1153.486000,1.295357,2.248029,2016-02-05 14:00:00,2252,2016-02-05 16:15:00,2261,False,True,15,1,10,ny_overlap,2016,24
15,46,bearish,bullish,1159.535500,1158.280500,2016-02-05 13:45:00,2016-02-05 20:00:00,2276,1162.544500,1.956821,3.325546,2016-02-05 20:15:00,2277,,,True,False,25,1,,off_session,2016,24
16,49,bullish,bearish,1194.234500,1192.225000,2016-02-08 19:00:00,2016-02-08 21:00:00,2372,1190.311000,2.559929,3.379196,2016-02-08 21:15:00,2373,,,True,False,8,1,,off_session,2016,25
17,52,bearish,bullish,1191.602000,1190.796500,2016-02-10 07:15:00,2016-02-10 14:45:00,2531,1192.776000,0.975071,2.308036,2016-02-10 16:45:00,2539,2016-02-10 17:45:00,2543,False,True,30,8,12,ny_overlap,2016,27
18,57,bearish,bullish,1207.494500,1206.640000,2016-02-18 10:15:00,2016-02-18 14:45:00,3068,1209.545000,1.345286,2.097324,2016-02-18 15:00:00,3069,,,True,False,18,1,,ny_overlap,2016,33
19,59,bearish,bullish,1227.325000,1226.235500,2016-02-19 07:15:00,2016-02-19 12:00:00,3149,1230.268500,0.933679,2.543166,2016-02-19 12:15:00,3150,2016-02-19 13:30:00,3155,False,True,19,1,6,ny_overlap,2016,34
20,61,bearish,bullish,1222.109000,1218.414500,2016-02-23 12:15:00,2016-02-23 13:30:00,3339,1223.458500,1.769036,3.972503,2016-02-23 13:45:00,3340,2016-02-23 14:00:00,3341,False,True,5,1,2,ny_overlap,2016,36
21,64,bearish,bullish,1226.983500,1225.944500,2016-02-24 07:15:00,2016-02-24 09:45:00,3416,1229.090000,1.497786,2.669608,2016-02-24 10:00:00,3417,,,True,False,10,1,,london,2016,37
22,67,bullish,bearish,1233.291500,1232.004500,2016-02-25 06:30:00,2016-02-25 14:15:00,3526,1228.190000,1.562107,3.542651,2016-02-25 14:30:00,3527,2016-02-25 14:45:00,3528,False,True,31,1,2,ny_overlap,2016,38
23,74,bullish,bearish,1243.711000,1242.825000,2016-03-03 12:45:00,2016-03-03 13:30:00,3983,1240.846000,1.253571,2.060912,2016-03-03 14:00:00,3985,2016-03-03 14:15:00,3986,False,True,3,2,3,ny_overlap,2016,43
24,76,bullish,bearish,1261.638500,1259.846000,2016-03-04 08:30:00,2016-03-04 13:45:00,4076,1258.598500,1.504929,4.352034,,,,,True,False,21,,,ny_overlap,2016,44
25,77,bearish,bullish,1267.138500,1264.886000,2016-03-04 13:30:00,2016-03-04 14:45:00,4080,1275.256000,2.245964,3.754289,2016-03-04 15:00:00,4081,2016-03-04 16:00:00,4085,False,True,5,1,5,ny_overlap,2016,44
26,78,bullish,bearish,1269.475000,1262.465000,2016-03-04 14:45:00,2016-03-04 20:00:00,4101,1259.915000,4.488250,3.010862,2016-03-04 20:30:00,4103,2016-03-04 20:45:00,4104,False,True,21,2,3,off_session,2016,44
27,80,bullish,bearish,1270.255000,1268.920000,2016-03-08 08:00:00,2016-03-08 14:45:00,4264,1267.489000,1.634357,3.599886,2016-03-08 15:00:00,4265,2016-03-08 16:00:00,4269,False,True,27,1,5,ny_overlap,2016,46
28,84,bearish,bullish,1251.460000,1250.456000,2016-03-10 05:45:00,2016-03-10 14:00:00,4445,1255.615500,1.030643,2.451383,2016-03-10 14:15:00,4446,,,True,False,33,1,,ny_overlap,2016,48
29,85,bearish,bullish,1249.014500,1246.349500,2016-03-10 13:00:00,2016-03-10 13:30:00,4443,1250.545000,2.267679,4.193496,2016-03-10 14:00:00,4445,,,True,False,2,2,,ny_overlap,2016,48
30,89,bullish,bearish,1254.810000,1253.453500,2016-03-14 06:15:00,2016-03-14 13:45:00,4632,1250.838500,1.382857,2.640186,2016-03-14 14:00:00,4633,,,True,False,30,1,,ny_overlap,2016,50
31,91,bullish,bearish,1234.710000,1230.842000,2016-03-15 12:45:00,2016-03-15 15:30:00,4731,1229.762000,2.141036,3.441092,2016-03-15 17:45:00,4740,2016-03-15 18:45:00,4744,False,True,11,9,13,ny_overlap,2016,51
32,92,bearish,bullish,1235.576000,1234.339500,2016-03-16 08:00:00,2016-03-16 18:15:00,4834,1247.989000,1.029750,4.258315,2016-03-16 18:30:00,4835,,,True,False,41,1,,off_session,2016,52
33,93,bearish,bullish,1234.266500,1232.551000,2016-03-16 12:45:00,2016-03-16 18:15:00,4834,1247.989000,1.269500,5.305632,2016-03-16 18:30:00,4835,,,True,False,22,1,,off_session,2016,52
34,101,bearish,bullish,1219.598500,1218.714500,2016-03-24 07:15:00,2016-03-24 12:15:00,5362,1221.985500,1.358857,5.385776,2016-03-24 12:30:00,5363,2016-03-24 14:00:00,5369,False,True,20,1,7,ny_overlap,2016,58
35,102,bullish,bearish,1219.279000,1217.929000,2016-03-24 12:15:00,2016-03-24 20:30:00,5395,1216.889000,1.671393,2.761768,2016-03-24 21:00:00,5397,,,True,False,33,2,,off_session,2016,58
36,104,bearish,bullish,1219.740500,1219.045000,2016-03-29 07:15:00,2016-03-29 11:45:00,5544,1220.494000,1.239036,2.551177,2016-03-29 13:15:00,5550,,,True,False,18,6,,london,2016,60
37,110,bullish,bearish,1232.669000,1231.851000,2016-04-01 06:45:00,2016-04-01 11:15:00,5818,1230.640500,1.130286,3.162917,2016-04-01 11:30:00,5819,2016-04-01 12:30:00,5823,False,True,18,1,5,london,2016,63
