fvg_id,direction,creation_time,gap_high,gap_low,frozen_atr,gap_size_atr,bos_present,bos_swing_level,candle1_time,candle1_open,candle1_high,candle1_low,candle1_close,candle2_time,candle2_open,candle2_high,candle2_low,candle2_close,candle3_time,candle3_open,candle3_high,candle3_low,candle3_close
1,bullish,2016-01-04 05:15:00,1065.213500,1064.668000,0.741286,0.735884,False,,2016-01-04 04:45:00,1064.073500,1064.668000,1064.034500,1064.664500,2016-01-04 05:00:00,1064.664000,1065.514000,1064.664000,1065.464000,2016-01-04 05:15:00,1065.493500,1065.914500,1065.213500,1065.839500
2,bullish,2016-01-04 06:00:00,1067.686500,1066.749500,0.864821,1.083461,False,,2016-01-04 05:30:00,1065.829500,1066.749500,1065.749000,1066.433500,2016-01-04 05:45:00,1066.415000,1068.249000,1065.734000,1067.905000,2016-01-04 06:00:00,1067.909500,1069.130000,1067.686500,1068.825000
3,bullish,2016-01-04 08:15:00,1070.630000,1069.829000,1.327393,0.603439,False,,2016-01-04 07:45:00,1069.248500,1069.829000,1069.115000,1069.408500,2016-01-04 08:00:00,1069.405000,1073.140000,1069.359500,1071.500000,2016-01-04 08:15:00,1071.568500,1071.815000,1070.630000,1071.416000
4,bearish,2016-01-04 12:15:00,1073.960000,1073.130000,1.327571,0.625202,False,,2016-01-04 11:45:00,1074.615000,1074.690500,1073.960000,1074.048500,2016-01-04 12:00:00,1074.048000,1074.063500,1070.469000,1072.708500,2016-01-04 12:15:00,1072.724500,1073.130000,1071.314500,1071.576500
5,bullish,2016-01-04 13:45:00,1076.503500,1072.534000,1.810857,2.192056,True,1074.235500,2016-01-04 13:15:00,1072.525000,1072.534000,1070.605500,1071.376000,2016-01-04 13:30:00,1071.404500,1078.604000,1071.294000,1077.995500,2016-01-04 13:45:00,1077.990500,1078.408500,1076.503500,1077.174500
6,bullish,2016-01-04 15:15:00,1080.569500,1079.329000,2.261821,0.548452,True,1074.235500,2016-01-04 14:45:00,1078.005000,1079.329000,1077.495000,1079.304000,2016-01-04 15:00:00,1079.295000,1081.745500,1079.291500,1080.530500,2016-01-04 15:15:00,1080.569500,1083.579500,1080.569500,1082.575000
7,bearish,2016-01-04 16:45:00,1077.446000,1075.491000,2.696071,0.725129,False,,2016-01-04 16:15:00,1078.026500,1078.876500,1077.446000,1077.851500,2016-01-04 16:30:00,1077.844500,1078.080000,1074.849000,1075.406000,2016-01-04 16:45:00,1075.391500,1075.491000,1071.405500,1071.615000
8,bearish,2016-01-04 17:00:00,1074.849000,1073.601000,2.332179,0.535122,False,,2016-01-04 16:30:00,1077.844500,1078.080000,1074.849000,1075.406000,2016-01-04 16:45:00,1075.391500,1075.491000,1071.405500,1071.615000,2016-01-04 17:00:00,1071.596000,1073.601000,1071.385500,1073.526000
9,bullish,2016-01-05 05:00:00,1077.445500,1076.879500,0.590000,0.959322,False,,2016-01-05 04:30:00,1076.870000,1076.879500,1076.430000,1076.525500,2016-01-05 04:45:00,1076.561500,1077.845000,1076.561500,1077.565000,2016-01-05 05:00:00,1077.565500,1077.770500,1077.445500,1077.524500
10,bullish,2016-01-05 06:00:00,1078.154500,1077.370000,0.561929,1.396085,False,,2016-01-05 05:30:00,1077.150000,1077.370000,1077.059500,1077.340000,2016-01-05 05:45:00,1077.300500,1078.300000,1077.170500,1078.155000,2016-01-05 06:00:00,1078.154500,1078.996000,1078.154500,1078.425000
