symbol,strategy,rr,gate,year,month,n,net_r,random_net_r
XAGUSD,compression_only,1.5,le_0.10,2021,2,1,1.405133,1.405133
XAGUSD,compression_only,1.5,le_0.10,2025,10,4,-4.003632,-3.409300
XAGUSD,compression_only,1.5,le_0.10,2025,12,7,3.291212,0.821798
XAGUSD,compression_only,1.5,le_0.10,2026,1,24,6.526037,-22.478410
XAGUSD,compression_only,1.5,le_0.10,2026,2,29,5.326591,-39.084480
XAGUSD,compression_only,1.5,le_0.10,2026,3,26,2.890947,-12.052598
XAGUSD,compression_only,1.5,le_0.10,2026,4,21,10.871003,-12.964789
XAGUSD,compression_only,1.5,le_0.10,2026,5,19,-4.967891,-15.772261
XAGUSD,compression_only,1.5,le_0.10,2026,6,16,-1.894074,-4.049261
XAGUSD,compression_only,1.5,le_0.15,2020,8,5,2.096250,-4.747105
XAGUSD,compression_only,1.5,le_0.15,2021,2,1,1.405133,-2.542436
XAGUSD,compression_only,1.5,le_0.15,2024,4,1,0.285443,-0.550972
XAGUSD,compression_only,1.5,le_0.15,2025,9,1,0.404062,-1.316943
XAGUSD,compression_only,1.5,le_0.15,2025,10,17,2.390273,-16.108794
XAGUSD,compression_only,1.5,le_0.15,2025,11,7,2.862509,-5.722598
XAGUSD,compression_only,1.5,le_0.15,2025,12,25,3.875444,-7.196434
XAGUSD,compression_only,1.5,le_0.15,2026,1,24,6.526037,-34.230933
XAGUSD,compression_only,1.5,le_0.15,2026,2,29,5.326591,-22.552845
XAGUSD,compression_only,1.5,le_0.15,2026,3,26,2.890947,-13.583130
XAGUSD,compression_only,1.5,le_0.15,2026,4,22,12.259825,-18.753341
XAGUSD,compression_only,1.5,le_0.15,2026,5,21,-2.188676,-5.206159
XAGUSD,compression_only,1.5,le_0.15,2026,6,19,-1.279397,-0.287665
XAGUSD,compression_only,1.5,none,2016,1,17,-14.699658,-24.821214
XAGUSD,compression_only,1.5,none,2016,2,21,-4.592289,-48.269699
XAGUSD,compression_only,1.5,none,2016,3,27,-17.983629,-39.480123
XAGUSD,compression_only,1.5,none,2016,4,16,0.635020,-23.412496
XAGUSD,compression_only,1.5,none,2016,5,18,5.337970,-33.137021
XAGUSD,compression_only,1.5,none,2016,6,21,-18.942262,-19.520341
XAGUSD,compression_only,1.5,none,2016,7,21,-8.103853,-26.249067
XAGUSD,compression_only,1.5,none,2016,8,26,-0.469087,-42.928391
XAGUSD,compression_only,1.5,none,2016,9,24,4.090383,-41.527426
XAGUSD,compression_only,1.5,none,2016,10,20,-8.799610,-21.323989
XAGUSD,compression_only,1.5,none,2016,11,15,-12.779021,-22.920176
XAGUSD,compression_only,1.5,none,2016,12,17,-9.488243,-27.783372
XAGUSD,compression_only,1.5,none,2017,1,23,-2.025421,-9.086259
XAGUSD,compression_only,1.5,none,2017,2,21,-17.504433,-35.186452
XAGUSD,compression_only,1.5,none,2017,3,25,-20.252872,-32.653660
XAGUSD,compression_only,1.5,none,2017,4,25,-21.332318,-44.840565
