sweep_id,direction,side,swept_swing_level,swing_index,swing_time,swing_confirm_time,breach_time,breach_index,breach_extreme,breach_distance_atr,rejection_close_time,rejection_index,rejection_close_price,bars_breach_to_rejection,frozen_atr,session,year,segment_id
1,bearish,buy_side,1074.235500,38,2016-01-04 08:45:00,2016-01-04 11:15:00,2016-01-04 11:30:00,49,1074.771500,0.446879,2016-01-04 11:45:00,50,1074.048500,1,1.199429,london,2016,0
2,bullish,sell_side,1076.465500,130,2016-01-05 08:45:00,2016-01-05 11:15:00,2016-01-05 14:00:00,151,1075.410000,0.653531,2016-01-05 14:30:00,153,1077.833500,2,1.615071,ny_overlap,2016,1
3,bearish,buy_side,1093.047500,246,2016-01-06 14:45:00,2016-01-06 17:15:00,2016-01-06 18:45:00,262,1094.389500,0.778390,2016-01-06 19:30:00,265,1092.919000,3,1.724071,off_session,2016,2
4,bullish,sell_side,1096.008500,410,2016-01-08 09:45:00,2016-01-08 12:15:00,2016-01-08 13:45:00,426,1092.745000,1.641275,2016-01-08 14:00:00,427,1099.445000,1,1.988393,ny_overlap,2016,4
5,bearish,buy_side,1104.184500,396,2016-01-08 06:15:00,2016-01-08 08:45:00,2016-01-08 16:30:00,437,1105.265000,0.332170,2016-01-08 16:45:00,438,1103.456500,1,3.252857,ny_overlap,2016,4
6,bullish,sell_side,1099.135000,503,2016-01-11 10:00:00,2016-01-11 12:30:00,2016-01-11 15:30:00,525,1097.271000,0.841223,2016-01-11 16:00:00,527,1099.564500,2,2.215821,ny_overlap,2016,5
7,bearish,buy_side,1098.180500,575,2016-01-12 05:00:00,2016-01-12 07:30:00,2016-01-12 08:15:00,588,1099.361500,0.917129,2016-01-12 08:30:00,589,1096.311000,1,1.287714,london,2016,6
8,bullish,sell_side,1088.741500,980,2016-01-18 14:15:00,2016-01-18 16:45:00,2016-01-18 18:00:00,995,1088.585000,0.282746,2016-01-18 18:15:00,996,1089.000000,1,0.553500,off_session,2016,10
9,bullish,sell_side,1087.730000,1029,2016-01-19 07:15:00,2016-01-19 09:45:00,2016-01-19 10:30:00,1042,1086.548000,0.620345,2016-01-19 11:15:00,1045,1087.733500,3,1.905393,london,2016,11
10,bearish,buy_side,1093.899000,1110,2016-01-20 04:30:00,2016-01-20 07:00:00,2016-01-20 07:30:00,1122,1095.050000,1.196288,2016-01-20 07:45:00,1123,1093.795000,1,0.962143,london,2016,12
11,bullish,sell_side,1096.399500,1227,2016-01-21 10:45:00,2016-01-21 13:15:00,2016-01-21 13:45:00,1239,1093.606500,1.400050,2016-01-21 14:00:00,1240,1097.751000,1,1.994929,ny_overlap,2016,13
12,bullish,sell_side,1095.163000,1313,2016-01-22 09:15:00,2016-01-22 11:45:00,2016-01-22 13:45:00,1331,1094.694500,0.345474,2016-01-22 14:00:00,1332,1095.194500,1,1.356107,ny_overlap,2016,14
13,bearish,buy_side,1105.599500,1403,2016-01-25 08:45:00,2016-01-25 11:15:00,2016-01-25 11:45:00,1415,1106.620500,0.931539,2016-01-25 12:15:00,1417,1104.955000,2,1.096036,ny_overlap,2016,15
14,bearish,buy_side,1108.168500,1423,2016-01-25 13:45:00,2016-01-25 16:15:00,2016-01-25 17:00:00,1436,1108.709000,0.341695,2016-01-25 17:15:00,1437,1106.832000,1,1.581821,off_session,2016,15
15,bearish,buy_side,1108.709000,1436,2016-01-25 17:00:00,2016-01-25 19:30:00,2016-01-25 21:30:00,1454,1109.024500,0.364244,2016-01-25 21:45:00,1455,1108.179000,1,0.866179,off_session,2016,15
16,bearish,buy_side,1117.763500,1491,2016-01-26 07:45:00,2016-01-26 10:15:00,2016-01-26 16:00:00,1524,1118.930500,0.578931,2016-01-26 16:15:00,1525,1117.244000,1,2.015786,ny_overlap,2016,16
17,bearish,buy_side,1119.335000,1592,2016-01-27 10:00:00,2016-01-27 12:30:00,2016-01-27 13:15:00,1605,1120.115500,0.613894,2016-01-27 13:45:00,1607,1118.607000,2,1.271393,ny_overlap,2016,17
18,bullish,sell_side,1116.328500,1595,2016-01-27 10:45:00,2016-01-27 13:15:00,2016-01-27 15:15:00,1613,1115.041500,0.851251,2016-01-27 15:30:00,1614,1116.585000,1,1.511893,ny_overlap,2016,17
19,bullish,sell_side,1111.646000,1783,2016-01-29 11:45:00,2016-01-29 14:15:00,2016-01-29 15:00:00,1796,1110.946000,0.386527,2016-01-29 15:15:00,1797,1114.044500,1,1.811000,ny_overlap,2016,19
20,bullish,sell_side,1120.500000,1850,2016-02-01 05:30:00,2016-02-01 08:00:00,2016-02-01 13:45:00,1883,1119.744000,0.680140,2016-02-01 14:00:00,1884,1122.859500,1,1.111536,ny_overlap,2016,20
21,bullish,sell_side,1123.478500,1966,2016-02-02 11:30:00,2016-02-02 14:00:00,2016-02-02 17:30:00,1990,1122.416500,0.609145,2016-02-02 17:45:00,1991,1124.364500,1,1.743429,off_session,2016,21
22,bearish,buy_side,1129.165000,2022,2016-02-03 02:30:00,2016-02-03 05:00:00,2016-02-03 06:15:00,2037,1129.395000,0.266248,2016-02-03 06:30:00,2038,1128.288500,1,0.863857,asian,2016,22
23,bearish,buy_side,1129.395000,2037,2016-02-03 06:15:00,2016-02-03 08:45:00,2016-02-03 10:30:00,2054,1130.185000,0.626558,2016-02-03 11:15:00,2057,1128.774000,3,1.260857,london,2016,22
24,bearish,buy_side,1156.808000,2165,2016-02-04 15:15:00,2016-02-04 17:45:00,2016-02-04 18:30:00,2178,1157.365500,0.251920,2016-02-04 18:45:00,2179,1155.416000,1,2.213000,off_session,2016,23
25,bearish,buy_side,1199.177000,2350,2016-02-08 15:30:00,2016-02-08 18:00:00,2016-02-08 19:00:00,2364,1200.875500,0.663495,2016-02-08 19:15:00,2365,1196.977000,1,2.559929,off_session,2016,25
26,bullish,sell_side,1235.664500,2690,2016-02-12 08:30:00,2016-02-12 11:00:00,2016-02-12 13:45:00,2711,1232.841500,0.978812,2016-02-12 14:15:00,2713,1237.064000,2,2.884107,ny_overlap,2016,29
27,bearish,buy_side,1212.194500,2948,2016-02-17 07:45:00,2016-02-17 10:15:00,2016-02-17 16:30:00,2983,1212.996500,0.259826,2016-02-17 16:45:00,2984,1211.589000,1,3.086679,ny_overlap,2016,32
28,bullish,sell_side,1215.681500,3323,2016-02-23 09:30:00,2016-02-23 12:00:00,2016-02-23 12:15:00,3334,1215.081500,0.339168,2016-02-23 12:30:00,3335,1217.265000,1,1.769036,ny_overlap,2016,36
29,bearish,buy_side,1222.109000,3328,2016-02-23 10:45:00,2016-02-23 13:15:00,2016-02-23 13:30:00,3339,1225.719500,1.568297,2016-02-23 14:00:00,3341,1218.126000,2,2.302179,ny_overlap,2016,36
30,bearish,buy_side,1227.324500,3349,2016-02-23 16:00:00,2016-02-23 18:30:00,2016-02-23 21:45:00,3372,1228.396000,0.691099,2016-02-23 22:00:00,3373,1225.750000,1,1.550429,off_session,2016,36
31,bearish,buy_side,1236.904500,3477,2016-02-25 02:00:00,2016-02-25 04:30:00,2016-02-25 06:30:00,3495,1237.538500,0.405862,2016-02-25 07:00:00,3497,1236.581500,2,1.562107,london,2016,38
32,bearish,buy_side,1242.515000,3501,2016-02-25 08:00:00,2016-02-25 10:30:00,2016-02-25 18:00:00,3541,1243.366000,0.251775,2016-02-25 18:15:00,3542,1240.810000,1,3.380000,off_session,2016,38
33,bullish,sell_side,1228.551000,3598,2016-02-26 09:15:00,2016-02-26 11:45:00,2016-02-26 13:45:00,3616,1227.236500,0.542509,2016-02-26 14:00:00,3617,1228.739500,1,2.423000,ny_overlap,2016,39
34,bullish,sell_side,1237.246000,3779,2016-03-01 08:30:00,2016-03-01 11:00:00,2016-03-01 14:45:00,3804,1236.286500,0.369373,2016-03-01 15:00:00,3805,1238.870000,1,2.597643,ny_overlap,2016,41
35,bearish,buy_side,1241.880500,3897,2016-03-02 15:00:00,2016-03-02 17:30:00,2016-03-02 18:45:00,3912,1242.974000,0.489246,2016-03-02 19:30:00,3915,1241.420000,3,2.235071,off_session,2016,42
36,bearish,buy_side,1244.399500,3966,2016-03-03 09:15:00,2016-03-03 11:45:00,2016-03-03 12:45:00,3980,1245.408500,0.804900,2016-03-03 13:15:00,3982,1243.451000,2,1.253571,ny_overlap,2016,43
37,bullish,sell_side,1259.846000,4054,2016-03-04 08:15:00,2016-03-04 10:45:00,2016-03-04 13:30:00,4075,1258.706500,0.507354,2016-03-04 14:00:00,4077,1265.658500,2,2.245964,ny_overlap,2016,44
