zone_id,direction,zone_high,zone_low,zone_creation_time,frozen_atr,displacement_atr,bos_swing_level,fvg_present,session,year,ob_candle_time,ob_candle_open,ob_candle_high,ob_candle_low,ob_candle_close,ob_candle_index,impulse_start_time,impulse_end_time,impulse_start_index,impulse_end_index,impulse_extreme,segment_id,touched,touch_time,bars_to_touch,success,bars_to_success,baseline_count,baseline_successes,baseline_success_rate,under_matched
1,bullish,1072.534000,1070.605500,2016-01-04 13:30:00,1.726786,4.632017,1074.235500,False,ny_overlap,2016,2016-01-04 13:00:00,1072.525000,1072.534000,1070.605500,1071.376000,56,2016-01-04 13:15:00,2016-01-04 13:30:00,57,57,1078.604000,0,True,2016-01-04 16:30:00,13,True,2,0,0,,True
2,bearish,1081.503500,1078.451000,2016-01-05 14:00:00,1.615071,3.772898,1076.465500,False,ny_overlap,2016,2016-01-05 13:15:00,1079.869000,1081.503500,1078.451000,1079.937000,149,2016-01-05 13:30:00,2016-01-05 14:00:00,150,151,1075.410000,1,True,2016-01-05 15:00:00,5,True,2,5,0,0.000000,False
3,bullish,1091.650000,1090.531000,2016-01-06 18:45:00,1.724071,2.238016,1093.047500,True,off_session,2016,2016-01-06 17:45:00,1091.136000,1091.650000,1090.531000,1091.069500,259,2016-01-06 18:00:00,2016-01-06 18:45:00,260,262,1094.389500,2,True,2016-01-07 01:00:00,22,True,2,0,0,,True
4,bullish,1099.805000,1097.951000,2016-01-07 13:15:00,1.599964,4.008214,1100.715000,True,ny_overlap,2016,2016-01-07 12:30:00,1098.990000,1099.805000,1097.951000,1098.093500,330,2016-01-07 12:45:00,2016-01-07 13:15:00,331,332,1104.364000,3,True,2016-01-07 15:30:00,10,True,1,5,5,1.000000,False
5,bearish,1104.184500,1103.309000,2016-01-08 07:15:00,0.933250,5.942673,1101.456500,True,london,2016,2016-01-08 06:00:00,1103.479500,1104.184500,1103.309000,1103.719000,396,2016-01-08 06:15:00,2016-01-08 07:15:00,397,400,1098.638500,4,True,2016-01-08 14:00:00,28,True,1,1,1,1.000000,True
6,bearish,1101.583500,1100.119500,2016-01-08 13:45:00,1.988393,4.445047,1096.008500,False,ny_overlap,2016,2016-01-08 12:30:00,1100.683500,1101.583500,1100.119500,1101.348000,422,2016-01-08 12:45:00,2016-01-08 13:45:00,423,426,1092.745000,4,True,2016-01-08 13:45:00,1,True,18,0,0,,True
7,bullish,1099.266000,1092.745000,2016-01-08 14:15:00,2.763179,4.317492,1104.184500,False,ny_overlap,2016,2016-01-08 13:30:00,1099.116000,1099.266000,1092.745000,1097.783500,426,2016-01-08 13:45:00,2016-01-08 14:15:00,427,428,1104.675000,4,True,2016-01-08 18:15:00,17,True,5,5,0,0.000000,False
8,bearish,1105.360000,1104.566500,2016-01-11 09:00:00,1.733714,2.961849,1102.765000,True,london,2016,2016-01-11 08:15:00,1104.970500,1105.360000,1104.566500,1105.119000,497,2016-01-11 08:30:00,2016-01-11 09:00:00,498,499,1100.225000,5,True,2016-01-11 10:30:00,7,True,3,0,0,,True
9,bearish,1103.323000,1100.487500,2016-01-11 15:15:00,2.082714,2.212497,1099.135000,False,ny_overlap,2016,2016-01-11 14:00:00,1101.049500,1103.323000,1100.487500,1103.119000,520,2016-01-11 14:15:00,2016-01-11 15:15:00,521,524,1098.715000,5,True,2016-01-11 16:00:00,4,True,2,0,0,,True
10,bullish,1095.545000,1094.947000,2016-01-12 08:15:00,1.287714,3.428167,1098.180500,False,london,2016,2016-01-12 07:45:00,1095.396000,1095.545000,1094.947000,1094.956500,587,2016-01-12 08:00:00,2016-01-12 08:15:00,588,588,1099.361500,6,True,2016-01-12 09:15:00,5,False,,0,0,,True
