ATR_LOOKAHEAD_FIX_CONTEXT
before_breakout_atr=old look-ahead mode: risk from breakout bar ATR14
after_compression_atr=correct live-matched mode: risk from compression-end bar ATR14
entry=range edge; stop=1R; targets=1/1.5/2R; force close=10/20 bars
symbol_context=XAUUSD,tick_file=data/2026.6.15XAUUSD-TICK-No Session.csv,bars=246886,date_range=2016-01-03 23:00:00 to 2026-06-15 00:00:00 UTC,compression_events=2858,spread=0.2000
symbol_context=XAGUSD,tick_file=data/2026.6.28XAGUSD-TICK-No Session.csv,bars=247673,date_range=2016-01-03 23:00:00 to 2026-06-26 21:00:00 UTC,compression_events=2687,spread=0.0200

ATR_LOOKAHEAD_ALL
period,symbol,atr_mode,exit,horizon,signal,n,gross_mean,gross_ci_low,gross_ci_high,net_mean,net_ci_low,net_ci_high,win_rate,unresolved_pct,false_breakout_pct,avg_risk,avg_spread_r,beats_random_gross,beats_random_net,gross_class,net_class,target_count,stop_count,force_count
all,XAGUSD,before_breakout_atr,rr_1,10,simple_follow,2659,0.265147,0.220216,0.310079,-0.359546,-0.407103,-0.311989,57.05%,1.50%,1.77%,0.067608,0.624694,True,True,C_confirmed,A_absent,1857,762,40
all,XAGUSD,before_breakout_atr,rr_1,10,random,2659,-0.410411,-0.468610,-0.352212,-1.035105,-1.095943,-0.974266,40.05%,1.50%,1.77%,0.067608,0.624694,False,False,baseline,baseline,1284,1335,40
all,XAGUSD,before_breakout_atr,rr_1,20,simple_follow,2659,0.263128,0.218066,0.308190,-0.361566,-0.409209,-0.313922,57.05%,0.94%,1.77%,0.067608,0.624694,True,True,C_confirmed,A_absent,1863,771,25
all,XAGUSD,before_breakout_atr,rr_1,20,random,2659,-0.411139,-0.469413,-0.352864,-1.035832,-1.096737,-0.974927,40.28%,0.94%,1.77%,0.067608,0.624694,False,False,baseline,baseline,1292,1342,25
all,XAGUSD,before_breakout_atr,rr_1_5,10,simple_follow,2659,0.273356,0.216230,0.330483,-0.351337,-0.410437,-0.292238,55.58%,4.17%,1.77%,0.067608,0.624694,True,True,C_confirmed,A_absent,1512,1036,111
all,XAGUSD,before_breakout_atr,rr_1_5,10,random,2659,-0.442617,-0.507701,-0.377533,-1.067311,-1.134863,-0.999758,37.53%,3.84%,1.77%,0.067608,0.624694,False,False,baseline,baseline,1004,1553,102
all,XAGUSD,before_breakout_atr,rr_1_5,20,simple_follow,2659,0.259926,0.202093,0.317760,-0.364767,-0.424392,-0.305142,55.47%,1.81%,1.77%,0.067608,0.624694,True,True,C_confirmed,A_absent,1537,1074,48
all,XAGUSD,before_breakout_atr,rr_1_5,20,random,2659,-0.447827,-0.513296,-0.382359,-1.072521,-1.140386,-1.004656,37.80%,1.84%,1.77%,0.067608,0.624694,False,False,baseline,baseline,1033,1577,49
all,XAGUSD,before_breakout_atr,rr_2,10,simple_follow,2659,0.257388,0.190888,0.323888,-0.367306,-0.435333,-0.299278,49.49%,8.01%,1.77%,0.067608,0.624694,True,True,C_confirmed,A_absent,1228,1218,213
all,XAGUSD,before_breakout_atr,rr_2,10,random,2659,-0.455088,-0.525977,-0.384199,-1.079781,-1.152830,-1.006733,33.62%,6.96%,1.77%,0.067608,0.624694,False,False,baseline,baseline,805,1669,185
all,XAGUSD,before_breakout_atr,rr_2,20,simple_follow,2659,0.231638,0.163443,0.299834,-0.393055,-0.462617,-0.323494,49.27%,2.75%,1.77%,0.067608,0.624694,True,True,C_confirmed,A_absent,1286,1300,73
all,XAGUSD,before_breakout_atr,rr_2,20,random,2659,-0.472858,-0.544865,-0.400850,-1.097551,-1.171656,-1.023447,33.43%,2.56%,1.77%,0.067608,0.624694,False,False,baseline,baseline,861,1730,68
all,XAGUSD,after_compression_atr,rr_1,10,simple_follow,2659,0.236284,0.188767,0.283801,-0.499170,-0.549606,-0.448734,50.58%,1.17%,1.77%,0.058695,0.735453,True,True,C_confirmed,A_absent,1860,768,31
all,XAGUSD,after_compression_atr,rr_1,10,random,2659,-0.570838,-0.636910,-0.504766,-1.306291,-1.375598,-1.236985,35.09%,1.17%,1.77%,0.058695,0.735453,False,False,baseline,baseline,1246,1382,31
all,XAGUSD,after_compression_atr,rr_1,20,simple_follow,2659,0.233896,0.186294,0.281498,-0.501558,-0.552036,-0.451079,50.51%,0.90%,1.77%,0.058695,0.735453,True,True,C_confirmed,A_absent,1862,773,24
all,XAGUSD,after_compression_atr,rr_1,20,random,2659,-0.571780,-0.637884,-0.505676,-1.307234,-1.376559,-1.237908,35.16%,0.90%,1.77%,0.058695,0.735453,False,False,baseline,baseline,1249,1386,24
all,XAGUSD,after_compression_atr,rr_1_5,10,simple_follow,2659,0.319822,0.260571,0.379072,-0.415632,-0.476789,-0.354474,54.87%,2.48%,1.77%,0.058695,0.735453,True,True,C_confirmed,A_absent,1609,984,66
all,XAGUSD,after_compression_atr,rr_1_5,10,random,2659,-0.539168,-0.612079,-0.466258,-1.274622,-1.350382,-1.198861,36.37%,2.14%,1.77%,0.058695,0.735453,False,False,baseline,baseline,1054,1548,57
all,XAGUSD,after_compression_atr,rr_1_5,20,simple_follow,2659,0.311158,0.251548,0.370768,-0.424295,-0.485664,-0.362927,54.57%,1.43%,1.77%,0.058695,0.735453,True,True,C_confirmed,A_absent,1618,1003,38
