WYCKOFF_RSI_ENTRY_RR_MATRIX_CONTEXT
tick_file=data/2026.6.15XAUUSD-TICK-No Session.csv
bars=246886
date_range=2016-01-03 23:00:00 to 2026-06-15 00:00:00 UTC
compression_events_total=2800
wyckoff_covered_events=916
approach_a=enter immediately at compression-end close in signal direction
approach_b=enter broken range edge in breakout direction only when signal agrees
approach_a_simple_follow=oracle eventual breakout direction, included only as requested comparator
spread_usd_oz=0.20
fill_rule=TP limit at target; SL at adverse OHLC extreme; if same bar can hit both, stop first
approach_b_intrabar_note=edge entry uses next bar for TP/SL evaluation because breakout-bar tick order is unavailable
train_period=2016-01-03 through 2021-12-31; test_period=2022-01-01 through 2026-06-15

MATRIX_ALL
period,approach,stop,rr,horizon,signal,n,direction_correct,win_rate,breakeven_win_rate,win_minus_breakeven,net_expectancy_r,ci_low,ci_high,unresolved_pct,target_count,stop_count,force_count,avg_risk_usd_oz,avg_spread_r,ci_clears_zero
all,A_immediate_compression_close,fixed_10,1,10,wyckoff_rsi,916,48.47%,46.07%,51.00%,-4.93%,-0.081776,-0.125822,-0.037729,76.86%,102,110,704,10.000000,0.020000,False
all,A_immediate_compression_close,fixed_10,1,10,coin_flip,916,51.31%,45.41%,51.00%,-5.59%,-0.088546,-0.130248,-0.046844,76.86%,96,116,704,10.000000,0.020000,False
all,A_immediate_compression_close,fixed_10,1,10,prior_momentum,915,47.43%,45.79%,51.00%,-5.21%,-0.089252,-0.130633,-0.047871,76.83%,96,116,703,10.000000,0.020000,False
all,A_immediate_compression_close,fixed_10,1,10,simple_follow,916,61.79%,72.05%,51.00%,21.05%,0.214108,0.179124,0.249093,76.86%,167,45,704,10.000000,0.020000,True
all,A_immediate_compression_close,fixed_10,1,20,wyckoff_rsi,916,48.47%,49.45%,51.00%,-1.55%,-0.087930,-0.140827,-0.035034,62.34%,162,183,571,10.000000,0.020000,False
all,A_immediate_compression_close,fixed_10,1,20,coin_flip,916,51.31%,47.93%,51.00%,-3.07%,-0.120407,-0.172110,-0.068705,62.34%,155,190,571,10.000000,0.020000,False
all,A_immediate_compression_close,fixed_10,1,20,prior_momentum,915,47.43%,48.74%,51.00%,-2.26%,-0.109493,-0.160395,-0.058591,62.30%,163,182,570,10.000000,0.020000,False
all,A_immediate_compression_close,fixed_10,1,20,simple_follow,916,61.79%,73.69%,51.00%,22.69%,0.283458,0.241332,0.325583,62.34%,271,74,571,10.000000,0.020000,True
all,A_immediate_compression_close,fixed_10,2,10,wyckoff_rsi,916,48.47%,44.32%,34.00%,10.32%,-0.097871,-0.146450,-0.049292,83.73%,27,122,767,10.000000,0.020000,False
all,A_immediate_compression_close,fixed_10,2,10,coin_flip,916,51.31%,43.67%,34.00%,9.67%,-0.101960,-0.149650,-0.054271,83.08%,27,128,761,10.000000,0.020000,False
all,A_immediate_compression_close,fixed_10,2,10,prior_momentum,915,47.43%,44.48%,34.00%,10.48%,-0.089406,-0.136572,-0.042240,82.62%,34,125,756,10.000000,0.020000,False
all,A_immediate_compression_close,fixed_10,2,10,simple_follow,916,61.79%,70.52%,34.00%,36.52%,0.235127,0.190335,0.279918,88.32%,52,55,809,10.000000,0.020000,True
all,A_immediate_compression_close,fixed_10,2,20,wyckoff_rsi,916,48.47%,46.18%,34.00%,12.18%,-0.114062,-0.173770,-0.054354,72.16%,50,205,661,10.000000,0.020000,False
all,A_immediate_compression_close,fixed_10,2,20,coin_flip,916,51.31%,45.20%,34.00%,11.20%,-0.136385,-0.195647,-0.077123,71.72%,50,209,657,10.000000,0.020000,False
all,A_immediate_compression_close,fixed_10,2,20,prior_momentum,915,47.43%,46.23%,34.00%,12.23%,-0.113966,-0.171833,-0.056099,73.22%,49,196,670,10.000000,0.020000,False
all,A_immediate_compression_close,fixed_10,2,20,simple_follow,916,61.79%,70.31%,34.00%,36.31%,0.314876,0.258413,0.371339,78.93%,100,93,723,10.000000,0.020000,True
